isolate1,isolate2,same_pr_hosp
MN_CRE26,MN_CRE24,FALSE
MN_CRE27,MN_CRE24,FALSE
MN_CRE28,MN_CRE24,FALSE
MN_CRE32,MN_CRE24,FALSE
MN_CRE33,MN_CRE24,FALSE
MN_CRE34,MN_CRE24,FALSE
MN_CRE37,MN_CRE24,FALSE
MN_CRE43,MN_CRE24,FALSE
MN_CRE44,MN_CRE24,FALSE
MN_CRE46,MN_CRE24,FALSE
MN_CRE56,MN_CRE24,FALSE
MN_CRE57,MN_CRE24,FALSE
MN_CRE58,MN_CRE24,FALSE
MN_CRE1,MN_CRE24,FALSE
MN_CRE61,MN_CRE24,FALSE
MN_CRE64,MN_CRE24,FALSE
MN_CRE71,MN_CRE24,FALSE
MN_CRE70,MN_CRE24,FALSE
MN_CRE245,MN_CRE24,FALSE
MN_CRE72,MN_CRE24,FALSE
MN_CRE246,MN_CRE24,FALSE
MN_CRE74,MN_CRE24,FALSE
MN_CRE251,MN_CRE24,FALSE
MN_CRE79,MN_CRE24,FALSE
MN_CRE252,MN_CRE24,FALSE
MN_CRE80,MN_CRE24,FALSE
MN_CRE247,MN_CRE24,FALSE
MN_CRE87,MN_CRE24,FALSE
MN_CRE90,MN_CRE24,FALSE
MN_CRE92,MN_CRE24,FALSE
MN_CRE91,MN_CRE24,FALSE
MN_CRE93,MN_CRE24,FALSE
MN_CRE95,MN_CRE24,FALSE
MN_CRE96,MN_CRE24,FALSE
MN_CRE101,MN_CRE24,FALSE
MN_CRE104,MN_CRE24,TRUE
MN_CRE103,MN_CRE24,FALSE
MN_CRE114,MN_CRE24,FALSE
MN_CRE116,MN_CRE24,FALSE
MN_CRE118,MN_CRE24,FALSE
MN_CRE2,MN_CRE24,FALSE
MN_CRE123,MN_CRE24,FALSE
MN_CRE130,MN_CRE24,FALSE
MN_CRE7,MN_CRE24,FALSE
MN_CRE8,MN_CRE24,FALSE
MN_CRE135,MN_CRE24,FALSE
MN_CRE141,MN_CRE24,FALSE
MN_CRE10,MN_CRE24,FALSE
MN_CRE165,MN_CRE24,FALSE
MN_CRE167,MN_CRE24,FALSE
MN_CRE173,MN_CRE24,FALSE
MN_CRE175,MN_CRE24,FALSE
MN_CRE176,MN_CRE24,FALSE
MN_CRE177,MN_CRE24,FALSE
MN_CRE181,MN_CRE24,FALSE
MN_CRE183,MN_CRE24,FALSE
MN_CRE186,MN_CRE24,FALSE
MN_CRE187,MN_CRE24,FALSE
MN_CRE191,MN_CRE24,FALSE
MN_CRE194,MN_CRE24,FALSE
MN_CRE201,MN_CRE24,FALSE
MN_CRE206,MN_CRE24,FALSE
MN_CRE208,MN_CRE24,FALSE
MN_CRE211,MN_CRE24,FALSE
MN_CRE224,MN_CRE24,FALSE
MN_CRE27,MN_CRE26,FALSE
MN_CRE28,MN_CRE26,FALSE
MN_CRE32,MN_CRE26,FALSE
MN_CRE33,MN_CRE26,FALSE
MN_CRE34,MN_CRE26,FALSE
MN_CRE37,MN_CRE26,FALSE
MN_CRE43,MN_CRE26,FALSE
MN_CRE44,MN_CRE26,FALSE
MN_CRE46,MN_CRE26,FALSE
MN_CRE56,MN_CRE26,FALSE
MN_CRE57,MN_CRE26,FALSE
MN_CRE58,MN_CRE26,FALSE
MN_CRE1,MN_CRE26,FALSE
MN_CRE61,MN_CRE26,FALSE
MN_CRE64,MN_CRE26,FALSE
MN_CRE71,MN_CRE26,FALSE
MN_CRE70,MN_CRE26,FALSE
MN_CRE245,MN_CRE26,FALSE
MN_CRE72,MN_CRE26,FALSE
MN_CRE246,MN_CRE26,FALSE
MN_CRE74,MN_CRE26,FALSE
MN_CRE251,MN_CRE26,FALSE
MN_CRE79,MN_CRE26,FALSE
MN_CRE80,MN_CRE26,FALSE
MN_CRE247,MN_CRE26,FALSE
MN_CRE87,MN_CRE26,FALSE
MN_CRE90,MN_CRE26,FALSE
MN_CRE92,MN_CRE26,FALSE
MN_CRE91,MN_CRE26,FALSE
MN_CRE93,MN_CRE26,FALSE
MN_CRE95,MN_CRE26,FALSE
MN_CRE96,MN_CRE26,FALSE
MN_CRE101,MN_CRE26,FALSE
MN_CRE104,MN_CRE26,FALSE
MN_CRE103,MN_CRE26,FALSE
MN_CRE114,MN_CRE26,FALSE
MN_CRE116,MN_CRE26,FALSE
MN_CRE118,MN_CRE26,FALSE
MN_CRE2,MN_CRE26,FALSE
MN_CRE123,MN_CRE26,FALSE
MN_CRE130,MN_CRE26,FALSE
MN_CRE7,MN_CRE26,FALSE
MN_CRE8,MN_CRE26,FALSE
MN_CRE135,MN_CRE26,FALSE
MN_CRE141,MN_CRE26,FALSE
MN_CRE10,MN_CRE26,FALSE
MN_CRE165,MN_CRE26,FALSE
MN_CRE167,MN_CRE26,FALSE
MN_CRE173,MN_CRE26,FALSE
MN_CRE175,MN_CRE26,FALSE
MN_CRE176,MN_CRE26,FALSE
MN_CRE177,MN_CRE26,FALSE
MN_CRE181,MN_CRE26,FALSE
MN_CRE183,MN_CRE26,FALSE
MN_CRE186,MN_CRE26,FALSE
MN_CRE187,MN_CRE26,FALSE
MN_CRE191,MN_CRE26,FALSE
MN_CRE194,MN_CRE26,FALSE
MN_CRE201,MN_CRE26,FALSE
MN_CRE206,MN_CRE26,FALSE
MN_CRE208,MN_CRE26,FALSE
MN_CRE211,MN_CRE26,FALSE
MN_CRE224,MN_CRE26,FALSE
MN_CRE28,MN_CRE27,FALSE
MN_CRE32,MN_CRE27,FALSE
MN_CRE33,MN_CRE27,FALSE
MN_CRE34,MN_CRE27,FALSE
MN_CRE37,MN_CRE27,FALSE
MN_CRE43,MN_CRE27,FALSE
MN_CRE44,MN_CRE27,FALSE
MN_CRE46,MN_CRE27,FALSE
MN_CRE56,MN_CRE27,FALSE
MN_CRE58,MN_CRE27,FALSE
MN_CRE1,MN_CRE27,FALSE
MN_CRE61,MN_CRE27,FALSE
MN_CRE64,MN_CRE27,FALSE
MN_CRE71,MN_CRE27,FALSE
MN_CRE70,MN_CRE27,FALSE
MN_CRE72,MN_CRE27,FALSE
MN_CRE74,MN_CRE27,FALSE
MN_CRE251,MN_CRE27,FALSE
MN_CRE252,MN_CRE27,FALSE
MN_CRE80,MN_CRE27,FALSE
MN_CRE247,MN_CRE27,FALSE
MN_CRE87,MN_CRE27,FALSE
MN_CRE90,MN_CRE27,FALSE
MN_CRE92,MN_CRE27,FALSE
MN_CRE91,MN_CRE27,FALSE
MN_CRE93,MN_CRE27,FALSE
MN_CRE95,MN_CRE27,FALSE
MN_CRE96,MN_CRE27,FALSE
MN_CRE101,MN_CRE27,FALSE
MN_CRE104,MN_CRE27,FALSE
MN_CRE103,MN_CRE27,FALSE
MN_CRE114,MN_CRE27,FALSE
MN_CRE116,MN_CRE27,FALSE
MN_CRE118,MN_CRE27,FALSE
MN_CRE2,MN_CRE27,FALSE
MN_CRE123,MN_CRE27,FALSE
MN_CRE130,MN_CRE27,FALSE
MN_CRE8,MN_CRE27,FALSE
MN_CRE135,MN_CRE27,FALSE
MN_CRE141,MN_CRE27,FALSE
MN_CRE10,MN_CRE27,FALSE
MN_CRE165,MN_CRE27,FALSE
MN_CRE167,MN_CRE27,FALSE
MN_CRE173,MN_CRE27,FALSE
MN_CRE176,MN_CRE27,FALSE
MN_CRE177,MN_CRE27,FALSE
MN_CRE181,MN_CRE27,FALSE
MN_CRE183,MN_CRE27,FALSE
MN_CRE186,MN_CRE27,FALSE
MN_CRE187,MN_CRE27,FALSE
MN_CRE191,MN_CRE27,FALSE
MN_CRE201,MN_CRE27,TRUE
MN_CRE206,MN_CRE27,FALSE
MN_CRE208,MN_CRE27,FALSE
MN_CRE211,MN_CRE27,FALSE
MN_CRE224,MN_CRE27,FALSE
MN_CRE32,MN_CRE28,FALSE
MN_CRE33,MN_CRE28,FALSE
MN_CRE34,MN_CRE28,FALSE
MN_CRE37,MN_CRE28,FALSE
MN_CRE43,MN_CRE28,FALSE
MN_CRE44,MN_CRE28,FALSE
MN_CRE46,MN_CRE28,FALSE
MN_CRE57,MN_CRE28,FALSE
MN_CRE58,MN_CRE28,FALSE
MN_CRE1,MN_CRE28,FALSE
MN_CRE61,MN_CRE28,FALSE
MN_CRE64,MN_CRE28,FALSE
MN_CRE71,MN_CRE28,FALSE
MN_CRE70,MN_CRE28,FALSE
MN_CRE245,MN_CRE28,FALSE
MN_CRE72,MN_CRE28,FALSE
MN_CRE246,MN_CRE28,FALSE
MN_CRE74,MN_CRE28,FALSE
MN_CRE251,MN_CRE28,FALSE
MN_CRE79,MN_CRE28,FALSE
MN_CRE252,MN_CRE28,FALSE
MN_CRE80,MN_CRE28,FALSE
MN_CRE247,MN_CRE28,FALSE
MN_CRE87,MN_CRE28,FALSE
MN_CRE90,MN_CRE28,FALSE
MN_CRE92,MN_CRE28,FALSE
MN_CRE91,MN_CRE28,FALSE
MN_CRE93,MN_CRE28,FALSE
MN_CRE95,MN_CRE28,FALSE
MN_CRE96,MN_CRE28,FALSE
MN_CRE101,MN_CRE28,FALSE
MN_CRE104,MN_CRE28,FALSE
MN_CRE103,MN_CRE28,FALSE
MN_CRE114,MN_CRE28,FALSE
MN_CRE116,MN_CRE28,FALSE
MN_CRE118,MN_CRE28,FALSE
MN_CRE2,MN_CRE28,FALSE
MN_CRE123,MN_CRE28,FALSE
MN_CRE130,MN_CRE28,FALSE
MN_CRE7,MN_CRE28,FALSE
MN_CRE8,MN_CRE28,FALSE
MN_CRE135,MN_CRE28,FALSE
MN_CRE141,MN_CRE28,FALSE
MN_CRE10,MN_CRE28,FALSE
MN_CRE165,MN_CRE28,FALSE
MN_CRE167,MN_CRE28,FALSE
MN_CRE173,MN_CRE28,FALSE
MN_CRE175,MN_CRE28,FALSE
MN_CRE176,MN_CRE28,FALSE
MN_CRE177,MN_CRE28,FALSE
MN_CRE181,MN_CRE28,FALSE
MN_CRE183,MN_CRE28,FALSE
MN_CRE186,MN_CRE28,FALSE
MN_CRE191,MN_CRE28,FALSE
MN_CRE194,MN_CRE28,FALSE
MN_CRE201,MN_CRE28,FALSE
MN_CRE206,MN_CRE28,FALSE
MN_CRE208,MN_CRE28,FALSE
MN_CRE211,MN_CRE28,FALSE
MN_CRE224,MN_CRE28,FALSE
MN_CRE33,MN_CRE32,FALSE
MN_CRE34,MN_CRE32,FALSE
MN_CRE37,MN_CRE32,FALSE
