source_facil,dest_facil,n_transfers
F1,F1,2258
F1,I1,1
F1,F3,1
F1,F4,1
F1,I3,33
F1,F5,1
F1,F7,1
F1,F9,1
F1,I5,15
F1,I244,1
F1,F11,24
F1,F12,1
F1,F13,1
F1,F14,191
F1,F15,1
F1,I8,1
F1,F16,1
F1,F17,1
F1,F20,303
F1,I10,81
F1,I11,1
F1,I13,1
F1,I14,1
F1,I17,1
F1,I22,13
F1,I26,1
F1,I27,1
F1,I29,1
F1,I32,1
F1,I33,1
F1,I35,1
F1,I36,1
F1,I40,1
F1,I42,1
F1,I43,1
F1,I44,1
F1,I45,1
F1,I51,1
F1,I52,56
F1,I56,57
F1,I57,1
F1,I58,1
F1,I59,1
F1,I61,1
F1,I68,56
F1,I69,30
F1,I71,1
F1,I73,16
F1,I75,1
F1,I85,1
F1,I89,1
F1,I90,1
F1,I92,1
F1,I96,284
F1,I97,1
F1,I100,1
F1,I102,1
F1,I107,53
F1,I119,22
F1,I120,283
F1,I129,1
F1,I130,192
F1,I137,1
F1,I140,255
F1,I147,1
F1,I149,127
F1,I157,1
F1,I158,93
F1,I160,1
F1,I166,1
F1,I167,1
F1,I169,1
F1,I178,340
F1,I185,66
F1,I186,1
F1,I189,1
F1,I191,37
F1,I196,1
F1,I198,54
F1,I203,222
F1,I208,1
F1,I209,76
F1,I214,184
F1,I218,345
F1,I221,1
F1,I225,1
F1,I231,1
F1,I235,102
F1,I236,1
F1,I240,1
F1,I241,1
F1,I243,1
F2,F1,1
F2,F2,668
F2,I1,1
F2,F3,1
F2,F5,26
F2,F9,1
F2,F10,32
F2,F11,1
F2,I6,1
F2,F12,78
F2,F13,1
F2,F14,1
F2,F15,1
F2,I8,30
F2,F16,1
F2,F17,1
F2,F18,1
F2,F20,33
F2,I10,1
F2,I11,1
F2,I15,1
F2,I19,1
F2,I38,1
F2,I49,1
F2,I57,1
F2,I58,1
F2,I59,1
F2,I71,1
F2,I77,1
F2,I79,14
F2,I87,14
F2,I100,1
F2,I101,1
F2,I105,1
F2,I108,1
F2,I114,1
F2,I115,1
F2,I116,130
F2,I126,14
F2,I133,1
F2,I135,123
F2,I136,1
F2,I141,1
F2,I145,12
F2,I146,97
F2,I161,178
F2,I163,1
F2,I169,1
F2,I170,1
F2,I177,11
F2,I179,356
F2,I180,33
F2,I183,1
F2,I186,40
F2,I203,1
F2,I211,308
F2,I215,1
F2,I228,1
F2,I237,1
F2,I240,1
F2,I242,1
F2,I243,1
I1,F1,1
I1,F2,1
I1,F3,1
I1,F5,128
I1,F8,1
I1,F10,1
I1,F12,34
I1,F13,15
I1,F14,1
I1,F15,1
I1,F16,1
I1,F17,13
I1,F20,55
F3,F1,1
F3,F2,1
F3,I1,1
F3,F3,2823
F3,F4,1
F3,I3,1
F3,F5,1
F3,F9,1
F3,F10,1
F3,F11,32
F3,I7,1
F3,F12,1
F3,F13,11
F3,F14,1
F3,F15,12
F3,I8,1
F3,F17,21
F3,F18,1
F3,F20,129
F3,I11,1
F3,I13,25
F3,I14,1
F3,I16,1
F3,I19,1
F3,I22,1
F3,I26,1
F3,I28,1
F3,I29,1
F3,I32,111
F3,I41,74
F3,I42,245
F3,I58,1
F3,I67,1
F3,I69,1
F3,I70,88
F3,I79,1
F3,I80,607
F3,I85,211
F3,I89,191
F3,I94,1
F3,I96,1
F3,I98,1
F3,I100,1
F3,I101,76
F3,I102,1389
F3,I105,1
F3,I107,229
F3,I117,1
F3,I120,1
F3,I124,243
F3,I128,1
F3,I134,1
F3,I135,1
F3,I137,1
F3,I140,1
F3,I142,1
F3,I147,15
F3,I152,12
F3,I156,415
F3,I159,356
F3,I162,170
F3,I163,14
F3,I166,1
F3,I169,1
F3,I177,1
F3,I178,1
F3,I181,28
F3,I185,1
F3,I186,1
F3,I203,1
F3,I211,1
F3,I213,326
F3,I214,1
F3,I217,1
F3,I221,1
F3,I223,1
F3,I224,1
F3,I226,1
F3,I238,1
F3,I240,1
F3,I241,1
F3,I242,1
F3,I243,1
I2,F1,1
I2,F5,78
I2,F7,1
I2,F9,1
I2,F10,1
I2,F12,16
I2,F13,1
I2,F14,1
I2,F18,25
I2,F19,1
I2,F20,12
F4,F1,1
F4,F3,1
F4,F4,996
F4,F5,1
F4,F7,1
F4,F9,1
F4,I5,1
F4,F11,17
F4,F12,1
F4,F14,1
F4,F15,116
F4,I8,1
F4,F18,1
F4,F20,147
F4,I10,1
F4,I13,1
F4,I34,1
F4,I80,1
F4,I85,1
F4,I94,518
F4,I97,125
F4,I98,143
F4,I102,1
F4,I120,16
F4,I137,1
F4,I152,57
F4,I159,1
F4,I166,1
F4,I178,12
F4,I181,1
F4,I189,1
F4,I196,13
F4,I208,1
F4,I213,1
F4,I217,770
F4,I218,1
F4,I220,1
F4,I224,1
F4,I232,13
F4,I235,1
F4,I243,1
I3,F1,56
I3,F3,1
I3,F5,1
I3,F11,1
I3,F12,1
I3,F13,1
I3,F14,46
I3,F15,1
I3,F16,1
I3,F17,14
I3,F20,153
F5,F1,1
F5,F2,16
F5,I1,48
F5,F3,1
F5,I2,27
F5,F4,1
F5,I3,1
F5,F5,3857
F5,I4,34
F5,F7,48
F5,F8,96
F5,F9,109
F5,F10,84
F5,F11,1
F5,I6,28
F5,I7,1
F5,F12,201
F5,F13,14
F5,F14,1
F5,F15,1
F5,I8,80
F5,F16,51
F5,F17,24
F5,F18,84
F5,F19,77
F5,F20,45
F5,I9,1
F5,I10,134
F5,I11,156
F5,I13,12
F5,I14,22
F5,I16,12
F5,I18,1
F5,I19,1
F5,I22,1
F5,I28,1
F5,I32,1
F5,I34,1
F5,I35,1
F5,I36,1
F5,I40,1
F5,I42,1
F5,I45,1
F5,I46,1
F5,I49,1
F5,I51,1
F5,I53,1
F5,I55,1
F5,I57,1
F5,I58,22
F5,I59,1
F5,I60,1
F5,I62,34
F5,I63,1
F5,I64,1
F5,I65,1
F5,I66,1
F5,I67,33
F5,I71,62
F5,I72,16
F5,I74,217
F5,I76,162
F5,I77,36
F5,I78,240
F5,I79,156
F5,I81,305
F5,I82,120
F5,I83,26
F5,I84,30
F5,I85,1
F5,I86,107
F5,I87,43
F5,I88,38
F5,I90,25
F5,I91,37
F5,I92,1
F5,I93,42
F5,I95,337
F5,I97,1
F5,I99,35
F5,I102,1
F5,I103,124
F5,I104,1
F5,I105,71
F5,I106,1
F5,I108,71
F5,I109,1
F5,I110,72
F5,I111,28
F5,I112,94
F5,I113,1
F5,I114,40
F5,I115,36
F5,I116,22
F5,I117,1
F5,I118,45
F5,I119,1
F5,I121,12
F5,I122,142
F5,I123,1
F5,I124,1
F5,I125,14
F5,I126,59
F5,I127,98
F5,I128,202
F5,I129,60
F5,I131,144
F5,I132,1
