source_facil,dest_facil,n_transfers
F43,F43,6338
F52,F52,4013
F37,F37,3552
F38,F38,3129
F22,F22,3060
F47,F47,2820
F35,F35,2707
F46,F46,2406
F34,F34,2046
F36,F36,2014
F49,F49,1814
F33,F33,1421
F24,F24,1091
F45,F45,1015
F52,I364,967
F22,I365,948
F52,I363,944
F31,F31,882
F33,I369,866
F22,I371,782
F35,I369,776
F49,I382,754
F43,I374,735
F47,I377,694
I360,F48,667
F43,I373,603
F36,I393,581
F26,F26,579
F37,I404,544
F37,I369,487
F31,I372,481
F22,I383,479
F43,I370,476
F24,I385,464
F22,I395,445
F31,I396,444
F38,I388,435
I361,F43,422
F24,I378,417
F24,F43,414
I362,F45,406
F36,I386,405
F35,I394,404
F43,I427,402
I362,F80,389
F33,F38,388
F43,I420,381
F33,I406,377
F35,I404,366
F46,F76,365
F35,I391,363
F46,I408,352
I363,F52,348
F22,I415,346
F35,I399,336
F33,I390,333
F34,I392,330
F43,I381,329
F36,I384,328
F52,I402,315
I364,F52,311
F35,I400,305
F36,I412,303
F22,F37,302
F23,F22,302
F26,I430,294
F39,I417,294
I365,F22,284
F48,I360,282
F43,I405,277
F47,F73,275
F49,I398,274
F35,I411,268
F47,I416,268
F27,I432,266
F31,F33,262
F47,I407,259
I366,F45,253
F49,I439,251
F35,I386,247
I367,F47,245
F37,F22,243
I368,F36,242
I369,F33,241
F37,I426,234
I370,F43,222
F52,I410,222
F24,I418,222
F43,I413,218
F35,I452,211
F24,I463,211
F26,F37,206
F22,I469,205
I369,F35,204
I371,F22,202
F46,F73,202
I372,F31,201
F43,I361,196
I373,F43,195
F35,F54,195
F36,I404,195
I374,F43,194
F45,F76,194
F36,I436,193
F43,I433,188
F45,I362,185
F26,I411,182
F35,I496,182
I375,F52,181
F26,I474,179
I376,F37,178
F52,I490,178
I377,F47,177
F39,F39,176
F27,F27,176
F31,I369,176
F43,I428,176
F46,I407,176
I378,F24,174
F47,I446,174
F47,I442,173
F36,I449,172
I379,F37,171
F45,I408,170
F37,I496,169
F48,F48,167
F53,F53,167
F45,F80,166
I380,F52,165
I381,F43,164
I382,F49,163
F38,F33,163
F43,F24,163
F46,I446,161
F37,I406,161
I383,F22,160
F22,F78,160
F46,I482,160
I384,F36,159
F33,I426,159
F47,F80,158
I385,F24,155
I386,F36,154
F41,F41,154
F45,F47,153
F34,I426,152
F33,I441,152
F46,I416,152
I387,F52,151
F24,I431,151
F43,I503,150
F33,I475,148
F22,I407,148
F49,I527,148
F45,I446,147
F31,F38,146
I388,F38,146
F35,I406,146
I389,F43,145
F42,F42,145
F37,F29,144
I390,F33,143
F46,I481,143
F43,I510,143
F45,I482,143
F35,I473,142
F40,F40,141
F35,I449,141
I391,F35,140
F43,I480,140
F47,F45,139
F46,F47,139
F30,I481,139
F34,F29,139
I392,F34,138
F40,I557,138
F47,F79,138
F36,I465,138
I393,F36,136
F33,F31,136
F22,I424,136
I394,F35,135
F47,F46,134
F47,I476,134
I395,F22,132
F29,F29,131
I396,F31,129
F26,I488,129
F46,F37,128
F52,I461,128
I397,F43,127
I398,F49,127
I399,F35,127
F76,F46,126
I400,F35,126
I401,F38,126
F80,I362,126
F49,I501,126
F52,I534,126
I402,F52,125
F22,I454,125
F43,I477,125
F31,I496,125
I403,F43,124
F41,I479,124
F43,I540,124
F37,F46,123
F34,F37,123
F53,I467,123
F47,I408,123
F36,I522,123
F52,I460,121
I404,F37,120
F45,F46,119
F36,I368,119
F46,I520,117
F52,I519,117
F35,I426,116
F43,I500,116
F52,I458,115
I405,F43,114
I369,F37,114
I406,F33,114
F45,I366,114
F35,I384,114
F35,I516,113
F43,I498,113
F42,I470,111
F35,I465,111
F37,F34,110
I360,F49,110
F45,I464,110
F46,I369,110
I407,F47,109
F45,F73,109
F22,I448,109
F52,I459,109
F43,I559,109
F73,F73,108
F46,F80,108
F43,I499,108
F37,I473,108
I408,F46,107
F38,I369,107
F47,I560,107
F22,F36,106
F30,F30,106
F79,F47,106
F80,F80,106
F47,I464,105
F52,I511,105
F33,F37,104
I409,F37,103
F46,F45,103
F36,I452,103
F43,I450,103
F22,I486,103
F42,F52,102
I410,F52,102
I411,F35,102
F52,I506,102
F36,F38,101
F33,I372,101
F45,I416,101
F43,I444,101
F34,F38,100
F33,I516,100
I412,F36,99
I413,F43,99
I414,F52,99
F35,F38,99
F47,F38,99
F43,I484,99
F36,F74,99
F41,F24,98
I415,F22,98
F46,F55,98
I416,F47,97
F37,I392,96
I366,F80,96
F37,F26,95
I417,F39,95
F35,I468,95
F36,F78,95
F79,F79,95
F52,I518,95
F27,F37,94
I418,F24,94
F34,F74,94
F25,I501,93
F33,I404,93
F39,I360,92
F25,F25,92
F47,F55,92
F52,F38,91
F47,I569,91
F38,F29,91
F31,I390,91
I419,F36,90
F54,F35,90
F37,F33,90
F46,I464,90
F45,I521,90
F47,I482,90
I404,F35,89
I379,F22,89
F47,I521,89
F49,I360,88
I420,F43,88
F36,I419,88
F37,I516,88
F43,I526,88
F38,F34,87
F34,F36,86
F45,F55,86
F34,I419,86
F49,I566,86
F37,I391,86
F34,I421,86
F36,F22,85
F30,I520,85
F36,I548,85
F37,I371,85
I421,F34,84
F30,F46,84
F45,I530,84
F38,F78,84
F37,I515,84
F53,I472,84
I366,F76,84
F47,I492,83
I422,F37,82
I423,F37,82
F38,I392,82
F37,F35,81
F38,I446,81
F36,F34,80
F47,I367,80
I424,F22,80
F37,I562,80
F45,I485,80
F40,I538,80
F37,F36,79
I425,F37,79
I426,F37,79
F39,I478,79
F37,F43,78
I427,F43,78
I428,F43,78
F36,F37,78
F22,F38,78
F38,F47,78
I362,F47,78
F46,F22,78
F45,I512,78
F52,I470,78
F43,I483,78
I429,F52,77
F29,F37,77
F53,I504,77
F26,I487,77
F43,I385,77
F43,I532,77
I430,F26,76
F37,F38,76
I431,F24,76
F38,F22,76
I432,F27,76
F37,I563,76
I433,F43,75
I434,F37,75
F73,F47,75
F37,I441,75
F34,I495,75
F33,I396,75
F74,F34,74
F35,F37,74
F52,I375,74
F35,I494,74
F37,I547,74
F52,I533,73
F45,I407,73
F74,F74,73
I386,F35,72
I401,F33,72
F38,F31,72
F37,I550,72
F52,I544,72
F49,I417,72
F37,I407,72
F49,I556,72
F31,I406,72
F26,I505,72
I435,F52,71
F37,I376,71
F25,I618,71
F34,I489,71
F37,I536,71
F43,I378,71
I436,F36,70
F53,I360,70
I437,F52,70
F46,I362,70
F43,I605,70
F35,I495,70
I438,F52,69
F22,F46,69
I362,F46,69
I439,F49,69
F43,I389,69
F43,I529,69
F33,F75,69
F52,I551,69
I440,F43,68
F37,I379,68
F53,F49,68
F37,F55,68
F34,I443,68
F46,I530,68
F78,F78,68
F22,I515,68
I376,F35,67
I441,F33,67
F43,I509,67
F52,F43,66
F41,F43,66
F73,F46,66
F36,F35,66
F47,I530,66
F24,I537,66
F36,I547,66
F35,F36,65
F45,F38,65
I442,F47,65
F34,I466,65
F46,I372,65
F34,I525,65
F33,I496,65
F37,I465,65
F52,I380,64
F22,I555,64
F49,I502,64
F38,I415,64
F22,I522,64
I443,F34,63
F29,F34,63
I444,F43,63
I445,F52,63
I446,F46,63
F38,F37,63
I446,F47,63
F38,F36,62
F37,I390,62
F46,I507,62
F47,F76,62
I404,F36,61
F46,F38,61
I447,F24,61
F80,F47,61
I448,F22,61
F36,I383,61
F22,I384,61
F37,I614,61
I449,F36,60
I450,F43,60
I451,F52,60
F38,I401,60
F33,F35,60
I452,F35,60
F76,F45,60
I453,F22,60
I454,F22,60
F36,F32,60
F38,I426,60
F37,I400,60
F37,I399,60
F34,F78,60
F54,F54,60
F34,I547,60
F52,I591,60
F51,I536,60
F76,F76,60
I455,F52,59
I456,F52,59
I457,F52,59
I458,F52,59
I459,F52,59
F34,F35,59
I360,F38,59
F52,I387,59
F78,F22,59
F46,I553,59
F36,I493,59
I460,F52,58
I407,F46,58
F38,F35,58
F34,F55,58
F37,I415,58
F47,I571,58
I461,F52,57
I462,F38,57
F35,I567,57
F38,I547,57
I391,F37,56
F80,F45,56
I463,F24,56
I464,F47,56
F36,I399,56
F22,I404,56
I465,F36,55
I426,F34,55
I466,F34,55
I467,F53,55
I468,F35,55
F52,F37,55
I469,F22,55
I470,F42,55
F34,I369,55
F52,I615,55
I360,F43,54
I471,F52,54
I472,F53,54
F25,F49,54
I473,F35,54
I474,F26,54
F35,F33,54
I475,F33,54
I476,F47,54
F47,I362,54
F38,F55,54
F37,I605,54
F37,I372,54
F45,I507,54
F38,I407,54
I384,F35,53
F38,F45,53
F35,I522,53
I477,F43,52
F38,F52,52
I416,F46,52
I478,F39,52
F45,I442,52
F33,I489,52
F47,I565,52
F43,I397,51
F43,F37,51
I479,F41,51
F46,I561,51
I480,F43,50
F43,F52,50
I481,F46,50
I482,F46,50
I411,F26,50
F46,F30,50
I408,F45,50
F29,F38,50
F37,I411,50
F41,I546,50
I419,F34,49
I483,F43,49
F49,F38,49
I407,F22,49
F43,I614,49
F26,I496,49
F35,F43,48
F47,F43,48
I484,F43,48
F47,F37,48
I406,F37,48
I485,F45,48
I486,F22,48
F43,F41,48
F47,I545,48
