MN_CRE106,MN_CRE111,MN_CRE112,MN_CRE11,MN_CRE124,MN_CRE127,MN_CRE128,MN_CRE129,MN_CRE12,MN_CRE131,MN_CRE132,MN_CRE133,MN_CRE134,MN_CRE137,MN_CRE138,MN_CRE142,MN_CRE143,MN_CRE144,MN_CRE145,MN_CRE146,MN_CRE147,MN_CRE150,MN_CRE151,MN_CRE153,MN_CRE156,MN_CRE157,MN_CRE158,MN_CRE159,MN_CRE15,MN_CRE161,MN_CRE162,MN_CRE163,MN_CRE169,MN_CRE174,MN_CRE178,MN_CRE179,MN_CRE184,MN_CRE188,MN_CRE189,MN_CRE18,MN_CRE190,MN_CRE196,MN_CRE197,MN_CRE198,MN_CRE19,MN_CRE203,MN_CRE204,MN_CRE205,MN_CRE207,MN_CRE209,MN_CRE20,MN_CRE210,MN_CRE214,MN_CRE215,MN_CRE216,MN_CRE219,MN_CRE220,MN_CRE221,MN_CRE222,MN_CRE223,MN_CRE225,MN_CRE226,MN_CRE227,MN_CRE229,MN_CRE22,MN_CRE230,MN_CRE232,MN_CRE235,MN_CRE236,MN_CRE237,MN_CRE238,MN_CRE23,MN_CRE240,MN_CRE241,MN_CRE243,MN_CRE248,MN_CRE249,MN_CRE250,MN_CRE30,MN_CRE31,MN_CRE36,MN_CRE39,MN_CRE3,MN_CRE40,MN_CRE41,MN_CRE42,MN_CRE47,MN_CRE4,MN_CRE50,MN_CRE60,MN_CRE63,MN_CRE67,MN_CRE6,MN_CRE73,MN_CRE76,MN_CRE77,MN_CRE78,MN_CRE81,MN_CRE82,MN_CRE83,MN_CRE94,MN_CRE97,TN_CRE104,TN_CRE106,TN_CRE10,TN_CRE110,TN_CRE111,TN_CRE112,TN_CRE113,TN_CRE114,TN_CRE117,TN_CRE121,TN_CRE125,TN_CRE126,TN_CRE12,TN_CRE131,TN_CRE134,TN_CRE136,TN_CRE142,TN_CRE144,TN_CRE145,TN_CRE148,TN_CRE150,TN_CRE153,TN_CRE155,TN_CRE21,TN_CRE24,TN_CRE25,TN_CRE29,TN_CRE37,TN_CRE39,TN_CRE3,TN_CRE40,TN_CRE41,TN_CRE42,TN_CRE44,TN_CRE50,TN_CRE51,TN_CRE53,TN_CRE56,TN_CRE58,TN_CRE59,TN_CRE64,TN_CRE66,TN_CRE70,TN_CRE72,TN_CRE74,TN_CRE76,TN_CRE77,TN_CRE79,TN_CRE7,TN_CRE82,TN_CRE85,TN_CRE86,TN_CRE88,TN_CRE89,TN_CRE94,TN_CRE95,TN_CRE99
0,128,14,18576,25,28,17,13,13,18540,18562,20,11,16,18535,18486,63679,23,12,8,24,13,12,13,34,10,19,29,16,18302,52,18377,10,31,26,36,24,12,73616,12,117435,16,18,15,16,18,13,12,15,18405,16,18443,14,58,60,18,15,16,17460,18459,17545,17187,18239,29,12,24,17,13,8,19,18,20,118651,7,9,22,11,9,23,22,10,8,11,129,126,22,24,9,73655,36,19,34,18529,15,21,18,24,10,21,10,6,27,18231,58659,63723,17883,75764,17987,62939,18260,110397,71764,18005,78,64,70561,18329,59017,17838,58,74787,18104,382,18116,18239,18209,74069,17921,66,72574,113815,62149,58413,113851,18045,71,18116,18123,63573,18146,57977,17884,75630,58593,18363,18204,63057,58667,63656,18455,62,75963,58737,71423,58754,71698,58509,79,63682
128,0,134,18676,144,146,137,133,133,18644,18663,140,131,136,18636,18588,63757,143,132,126,144,132,132,131,154,128,138,147,133,18406,171,18478,130,149,145,156,144,132,73707,132,117529,136,138,133,136,138,133,132,135,18506,136,18544,134,176,178,138,135,136,17565,18564,17650,17291,18340,146,132,144,137,131,128,139,138,139,118737,127,129,142,131,129,143,141,130,128,130,247,245,140,143,129,73750,155,135,154,18630,135,140,138,142,130,141,130,126,147,18334,58729,63801,17989,75857,18087,63017,18362,110487,71856,18107,196,182,70653,18435,59088,17940,175,74885,18206,494,18219,18340,18311,74165,18024,183,72667,113907,62227,58483,113946,18144,189,18219,18225,63653,18249,58047,17982,75726,58663,18464,18305,63135,58737,63734,18557,180,76061,58807,71515,58824,71794,58579,195,63763
14,134,0,18576,30,32,23,19,19,18541,18563,26,17,2,18535,18488,63679,29,18,12,30,17,18,17,38,14,24,33,20,18304,55,18379,16,35,32,40,30,18,73615,18,117434,22,24,20,22,24,19,18,21,18406,22,18444,20,60,61,24,21,20,17462,18460,17546,17189,18241,33,18,30,23,17,14,25,24,26,118652,13,15,28,17,15,27,28,16,14,17,134,132,28,30,15,73656,41,22,40,18530,21,26,24,28,16,27,16,12,31,18233,58658,63723,17884,75765,17988,62939,18262,110396,71765,18007,82,68,70562,18330,59017,17839,62,74788,18106,387,18118,18239,18211,74070,17923,69,72575,113816,62149,58412,113852,18047,75,18118,18125,63573,18148,57976,17883,75631,58592,18364,18206,63057,58666,63656,18456,66,75966,58736,71424,58753,71699,58508,81,63684
18576,18676,18576,0,18252,18581,18538,18574,18570,14,11,18539,18574,18580,11,6,65138,18565,18571,18565,18496,18573,18568,18246,18579,18571,18579,18584,18575,21,18553,28,18569,18586,18581,18589,18566,18572,75589,18573,119514,18572,18577,18413,18544,18547,18574,18573,18574,18,18577,19,18575,18556,18556,18578,18575,18574,18153,42,18147,18015,47,18579,18568,18536,18576,18572,18569,18577,18520,18580,121399,18571,18570,18579,18570,18570,18554,18531,18568,18569,18570,18663,18652,18524,18553,18570,75597,18589,18575,18587,10,18564,18563,18574,18576,18569,18577,18568,18574,18582,437,59867,65230,19039,77725,19073,64612,550,112959,73483,436,18566,18559,72430,436,60151,19019,18567,76737,441,18241,436,443,436,76050,438,18550,74383,116788,63791,59626,116435,434,18569,433,436,65126,434,59272,19043,77380,59799,471,432,64638,59867,65257,58,18550,77635,59898,73186,59929,73448,59713,18577,65208
25,144,30,18252,0,29,24,21,21,18220,18242,27,22,31,18213,18167,62237,24,21,16,26,29,20,29,37,19,27,31,23,17985,51,18062,18,31,33,45,25,19,72258,20,115604,23,27,25,24,25,23,21,22,18087,23,18126,21,57,57,25,24,22,17165,18139,17229,16901,17924,34,21,32,25,22,16,27,27,22,116829,19,18,22,19,17,24,21,18,17,20,136,133,24,23,19,72326,34,22,34,18211,22,21,19,26,19,23,19,23,30,17926,57248,62321,17574,74288,17675,61556,17951,108606,70391,17701,77,62,69221,18022,57596,17542,60,73257,17799,377,17810,17932,17902,72682,17621,64,71262,111993,60777,57016,112088,17738,71,17809,17817,62130,17842,56584,17584,74203,57190,18054,17899,61646,57266,62237,18138,61,74527,57329,70056,57343,70331,57105,78,62238
28,146,32,18581,29,0,29,25,25,18545,18567,32,27,35,18540,18492,63707,15,24,20,27,33,24,32,38,22,30,19,27,18312,56,18387,22,22,38,48,28,24,73543,24,117451,27,30,27,28,29,25,24,27,18410,29,18449,26,63,64,30,27,28,17467,18468,17552,17194,18248,39,24,35,29,26,20,32,31,25,118671,23,22,26,23,21,27,26,22,20,24,137,134,27,27,23,73684,39,15,39,18535,26,23,22,20,22,25,22,26,32,18240,58686,63751,17878,75791,17981,62966,18269,110344,71764,18015,82,68,70561,18339,59045,17833,63,74789,18114,387,18125,18249,18218,74072,17930,70,72600,113814,62176,58440,113860,18054,75,18125,18132,63601,18155,58004,17879,75633,58620,18372,18213,63084,58694,63684,18464,67,75968,58764,71423,58781,71698,58536,83,63712
17,137,23,18538,24,29,0,14,14,18503,18524,5,16,25,18498,18448,63671,24,13,9,25,22,13,21,35,11,20,30,17,18265,53,18341,11,32,11,37,25,13,73427,13,117199,17,19,17,17,19,14,13,16,18368,17,18408,15,58,59,19,16,17,17421,18421,17502,17148,18202,30,13,9,18,12,9,20,14,21,118439,12,10,23,12,10,24,23,11,9,12,130,127,23,25,10,73461,37,20,35,18492,16,22,19,24,11,22,11,15,28,18193,58642,63715,17837,75578,17940,62932,18221,110200,71569,17967,79,65,70368,18290,59001,17793,58,74600,18066,383,18077,18198,18170,73891,17884,67,72371,113606,62141,58396,113644,18009,72,18078,18085,63566,18107,57960,17835,75451,58576,18326,18166,63049,58650,63649,18418,63,75787,58720,71230,58737,71502,58492,78,63677
13,133,19,18574,21,25,14,0,10,18538,18560,17,12,21,18533,18484,63678,20,9,5,21,18,9,17,31,7,16,26,13,18300,49,18375,7,28,23,33,21,9,73611,7,117430,13,15,12,13,15,8,7,12,18403,13,18441,11,55,55,15,12,13,17459,18457,17544,17186,18237,26,7,21,14,10,5,16,16,17,118648,8,4,19,8,6,20,19,7,5,6,126,123,19,21,6,73652,33,16,31,18527,12,18,15,21,7,18,7,11,24,18229,58658,63722,17881,75761,17985,62938,18258,110393,71761,18003,75,61,70558,18327,59016,17836,55,74784,18102,380,18114,18237,18207,74066,17919,63,72571,113812,62148,58412,113848,18043,68,18114,18121,63572,18144,57976,17882,75627,58592,18361,18202,63056,58666,63654,18453,59,75960,58736,71420,58753,71694,58508,76,63681
13,133,19,18570,21,25,14,10,0,18534,18556,17,12,22,18529,18480,63672,20,9,5,21,18,9,17,31,7,16,26,13,18296,49,18371,7,29,24,33,21,9,73607,9,117427,11,13,12,13,13,10,9,13,18399,14,18437,11,55,56,15,12,14,17458,18453,17543,17186,18233,26,9,21,14,8,5,17,16,17,118647,8,6,19,6,6,20,19,7,5,8,126,123,19,21,7,73648,33,16,32,18524,12,18,15,21,7,18,7,11,24,18229,58648,63711,17881,75757,17985,62934,18255,110385,71757,18004,75,61,70554,18327,59007,17836,55,74781,18102,380,18114,18235,18207,74056,17919,64,72567,113810,62143,58402,113847,18043,68,18114,18121,63565,18144,57967,17880,75617,58581,18361,18202,63051,58655,63652,18449,60,75952,58725,71416,58742,71691,58498,74,63676
18540,18644,18541,14,18220,18545,18503,18538,18534,0,3,18505,18538,18544,5,4,65112,18530,18536,18531,18461,18541,18534,18220,18545,18535,18543,18554,18539,19,18517,28,18534,18550,18545,18554,18530,18536,75565,18537,119486,18536,18541,18377,18509,18517,18538,18537,18539,15,18541,14,18539,18521,18524,18542,18540,18539,18128,37,18125,17989,39,18546,18534,18506,18542,18538,18533,18542,18485,18544,121372,18535,18534,18543,18534,18534,18520,18497,18534,18533,18534,18632,18620,18488,18518,18534,75574,18556,18541,18551,3,18528,18529,18539,18540,18533,18542,18532,18538,18551,432,59842,65201,19038,77697,19064,64582,544,112933,73460,432,18529,18524,72410,435,60127,19011,18531,76704,438,18204,429,442,431,76036,431,18512,74358,116768,63771,59599,116424,430,18534,430,431,65098,429,59243,19027,77358,59778,470,428,64611,59845,65230,56,18516,77615,59876,73162,59907,73425,59688,18544,65178
